gdof,component,comp_name,layer_e,ir,iz,localnode,r,z
1,1,theta,1,1,1,1,1,0
2,1,theta,1,1,2,2,1,0.0263257
3,1,theta,1,1,3,3,1,0.103983
4,1,theta,1,1,4,4,1,0.229077
5,1,theta,1,1,5,5,1,0.395336
6,1,theta,1,1,6,6,1,0.594422
7,1,theta,1,1,7,7,1,0.816353
8,1,theta,1,1,8,8,1,1.05
9,1,theta,1,1,9,9,1,1.28365
10,1,theta,1,1,10,10,1,1.50558
11,1,theta,1,1,11,11,1,1.70466
12,1,theta,1,1,12,12,1,1.87092
13,1,theta,1,1,13,13,1,1.99602
14,1,theta,1,1,14,14,1,2.07367
15,1,theta,1,1,15,15,1,2.1
16,1,theta,1,2,1,16,1.00175,0
17,1,theta,1,2,2,17,1.00175,0.0263257
18,1,theta,1,2,3,18,1.00175,0.103983
19,1,theta,1,2,4,19,1.00175,0.229077
20,1,theta,1,2,5,20,1.00175,0.395336
21,1,theta,1,2,6,21,1.00175,0.594422
22,1,theta,1,2,7,22,1.00175,0.816353
23,1,theta,1,2,8,23,1.00175,1.05
24,1,theta,1,2,9,24,1.00175,1.28365
25,1,theta,1,2,10,25,1.00175,1.50558
26,1,theta,1,2,11,26,1.00175,1.70466
27,1,theta,1,2,12,27,1.00175,1.87092
28,1,theta,1,2,13,28,1.00175,1.99602
29,1,theta,1,2,14,29,1.00175,2.07367
30,1,theta,1,2,15,30,1.00175,2.1
31,1,theta,1,3,1,31,1.00682,0
32,1,theta,1,3,2,32,1.00682,0.0263257
33,1,theta,1,3,3,33,1.00682,0.103983
34,1,theta,1,3,4,34,1.00682,0.229077
35,1,theta,1,3,5,35,1.00682,0.395336
36,1,theta,1,3,6,36,1.00682,0.594422
37,1,theta,1,3,7,37,1.00682,0.816353
38,1,theta,1,3,8,38,1.00682,1.05
39,1,theta,1,3,9,39,1.00682,1.28365
40,1,theta,1,3,10,40,1.00682,1.50558
41,1,theta,1,3,11,41,1.00682,1.70466
42,1,theta,1,3,12,42,1.00682,1.87092
43,1,theta,1,3,13,43,1.00682,1.99602
44,1,theta,1,3,14,44,1.00682,2.07367
45,1,theta,1,3,15,45,1.00682,2.1
46,1,theta,1,4,1,46,1.01472,0
47,1,theta,1,4,2,47,1.01472,0.0263257
48,1,theta,1,4,3,48,1.01472,0.103983
49,1,theta,1,4,4,49,1.01472,0.229077
50,1,theta,1,4,5,50,1.01472,0.395336
51,1,theta,1,4,6,51,1.01472,0.594422
52,1,theta,1,4,7,52,1.01472,0.816353
