N,max_err_K,method
7,0.00189274819908292,DQM-cheb
9,4.68884251034751e-05,DQM-cheb
11,2.11418624971316e-05,DQM-cheb
15,2.2627350148241e-05,DQM-cheb
21,5.5017920061573e-05,DQM-cheb
31,5.70762978497896e-05,DQM-cheb
41,0.000106429102260108,DQM-cheb
61,8.15713977715404e-05,DQM-cheb
81,0.000110263100310704,DQM-cheb
121,0.00011137846641418,DQM-cheb
131,0.000112332317911523,DQM-cheb
141,0.00170129713027478,DQM-cheb
151,NaN,DQM-cheb
161,NaN,DQM-cheb
201,NaN,DQM-cheb
7,0.0197337696307756,DQM-unif
9,0.000626864534666538,DQM-unif
11,1.36964079899826e-05,DQM-unif
15,2.23043679739021e-05,DQM-unif
21,2.26606062696533e-05,DQM-unif
31,7.52262813819016e-06,DQM-unif
41,1.73792824876641e+52,DQM-unif
61,1.03097211076611e+50,DQM-unif
81,4.51064848277511e+254,DQM-unif
121,NaN,DQM-unif
131,9.830068633028e+114,DQM-unif
141,NaN,DQM-unif
151,NaN,DQM-unif
161,NaN,DQM-unif
201,NaN,DQM-unif
11,0.0742446956508331,FDM
21,0.0310013346449693,FDM
41,0.00936019381033759,FDM
81,0.00252912519898274,FDM
161,0.000642058945693691,FDM
321,0.000147662752254973,FDM
11,0.172006286686795,FEM-lin
21,0.0438638949461989,FEM-lin
41,0.0110348097464552,FEM-lin
81,0.00277873760906999,FEM-lin
161,0.00071138329935394,FEM-lin
321,0.0001950105411197,FEM-lin
11,0.00196064785833272,FEM-quad
21,0.00014921432788384,FEM-quad
41,3.00839612208392e-05,FEM-quad
81,2.31219310649067e-05,FEM-quad
161,5.37778424529733e-05,FEM-quad
321,5.37599734968808e-05,FEM-quad
